Request 2022-2023: Central & West,,,,Requests 2022-2023: Central & West,,,,Student Course Sequencing,,,,,Sequencing Central vs West,,,,,
Course Name,Request Type,Count,,Course Name,Request Type,Count,,bioCourse,physCourse,chemCourse,Student count,,,Total student,Chem 1,Chem Honors,None,School
Biology 1 Bi,2020,61,,2020,Physics 1,896,,,Chemistry 1 (Blended),2,R,,Medical Terminology,12,A,,,
AP Chemistry,2022,52,,2020,Physics 1 Hon,315,,,AP Physics 1,1,R,,Medical Terminology,11,R,,,
AP Biology,2022,39,,2019,Biology 1,962,,,Medical Terminology,1,E,,AP Physics 1,4,R,,,
Physics 1 Bi,2020,38,,,,,,,Environmental Science,1,R,,Environmental Science,8,A,,,
Biology 1 Bi,2019,37,,,,,,,,,,,AP Biology,3,A,,,
AP Physics 1,2020,27,,,,,,,,,,,AP Environmental Science,3,A,,,
Medical Terminology,2021,27,,,,,,,,,,,AP Physics 1,3,A,,,
AP Physics 1,2022,22,,,,,,,,,,,Chemistry 1 Hon,1,A,,,
Physics 1,2019,22,,,,,,,,,,,Environmental Science,1,R,,,
AP Physics 1,2021,19,,,,,,,,,,,,,,,,
AP Environmental Science,2022,18,,,,,,,,Request,No Request,,,,,,,
Chemistry 1,2020,17,,,,,,,Course,Avg Percent,Avg Percent,,,,,,,
Medical Terminology,2020,13,,,,,,,Chemistry 1,66.5,77.5,,,,,,,
AP Environmental Science,2021,9,,,,,,,Honor Chemistry ,81,85,,,,,,,
AP Biology,2021,7,,,,,,,,,,,,,,,,
Environmental Science,2022,7,,,,,,,,,,,,,,,,
Environmental Science,2019,6,,,,,,,,,,,,,,,,
Environmental Science,2020,5,,,,,,,,,,,,,,,,
AP Chemistry,2021,4,,,,,,,,,,,,,,,,
Chemistry 1,2019,4,,,,,,,,,,,,,,,,
Environmental Science,2021,4,,,,,,,,,,,,,,,,
Physics 1 Hon,2019,4,,,,,,,,,,,,,,,,
Chemistry 1 Hon,2020,3,,,,,,,,,,,,,,,,
Chemistry 1 Hon,2019,2,,,,,,,,,,,,,,,,
Biology 1 Honors,2021,1,,,,,,,,,,,,,,,,
Medical Terminology,2019,1,,,,,,,,,,,,,,,,
