Department,Course Number,Course Name,Request Type,Grade,StudentNumber,Grade
Administrative,1414,Case Manager,E,12,4240408,12
Administrative,1414,Case Manager,E,10,4260850,10
Administrative,13041,Freshman Advisory,R,9,2270506,9
Administrative,13041,Freshman Advisory,R,9,2270148,9
Administrative,13041,Freshman Advisory,R,9,2270147,9
Administrative,13041,Freshman Advisory,R,9,2270835,9
Administrative,13041,Freshman Advisory,R,9,2270494,9
Administrative,13041,Freshman Advisory,R,9,2270719,9
Administrative,13041,Freshman Advisory,R,9,2270028,9
Administrative,13041,Freshman Advisory,R,9,2270085,9
Administrative,13041,Freshman Advisory,R,9,2270703,9
Administrative,13041,Freshman Advisory,R,9,2270336,9
Administrative,13041,Freshman Advisory,R,9,2270567,9
Administrative,13041,Freshman Advisory,R,9,2270382,9
Administrative,13041,Freshman Advisory,R,9,2270829,9
Administrative,13041,Freshman Advisory,R,9,2270403,9
Administrative,13041,Freshman Advisory,R,9,2270600,9
Administrative,13041,Freshman Advisory,R,9,2270141,9
Administrative,13041,Freshman Advisory,R,9,2270231,9
Administrative,13041,Freshman Advisory,R,9,2270724,9
Administrative,13041,Freshman Advisory,R,9,2270422,9
Administrative,13041,Freshman Advisory,R,9,2270156,9
Administrative,13041,Freshman Advisory,R,9,2270314,9
Administrative,13041,Freshman Advisory,R,9,2270486,9
Administrative,13041,Freshman Advisory,R,9,2270367,9
Administrative,13041,Freshman Advisory,R,9,2270177,9
Administrative,13041,Freshman Advisory,R,9,2270825,9
Administrative,13041,Freshman Advisory,R,9,2270884,9
Administrative,13041,Freshman Advisory,R,9,2270277,9
Administrative,13041,Freshman Advisory,R,9,2270126,9
Administrative,13041,Freshman Advisory,R,9,2270036,9
Administrative,13041,Freshman Advisory,R,9,2270439,9
Administrative,13041,Freshman Advisory,R,9,2270414,9
Administrative,13041,Freshman Advisory,R,9,2270628,9
Administrative,13041,Freshman Advisory,R,9,2270803,9
Administrative,13041,Freshman Advisory,R,9,2270899,9
Administrative,13041,Freshman Advisory,R,9,2270121,9
Administrative,13041,Freshman Advisory,R,9,2270509,9
Administrative,13041,Freshman Advisory,R,9,2270420,9
Administrative,13041,Freshman Advisory,R,9,2270299,9
Administrative,13041,Freshman Advisory,R,9,2270617,9
Administrative,13041,Freshman Advisory,R,9,2270687,9
Administrative,13041,Freshman Advisory,R,9,2270174,9
Administrative,13041,Freshman Advisory,R,9,2270134,9
Administrative,13041,Freshman Advisory,R,9,2270006,9
Administrative,13041,Freshman Advisory,R,9,2270215,9
Administrative,13041,Freshman Advisory,R,9,2270093,9
Administrative,13041,Freshman Advisory,R,9,2270014,9
Administrative,13041,Freshman Advisory,R,9,2270623,9
Administrative,13041,Freshman Advisory,R,9,2270576,9
Administrative,13041,Freshman Advisory,R,9,2270149,9
Administrative,13041,Freshman Advisory,R,9,2270238,9
Administrative,13041,Freshman Advisory,R,9,2270833,9
Administrative,13041,Freshman Advisory,R,9,2270368,9
Administrative,13041,Freshman Advisory,R,9,2270799,9
Administrative,13041,Freshman Advisory,R,9,2270365,9
Administrative,13041,Freshman Advisory,R,9,2270477,9
Administrative,13041,Freshman Advisory,R,9,2270754,9
Administrative,13041,Freshman Advisory,R,9,2270224,9
Administrative,13041,Freshman Advisory,R,9,2270499,9
Administrative,13041,Freshman Advisory,R,9,2270333,9
Administrative,13041,Freshman Advisory,R,9,2270747,9
Administrative,13041,Freshman Advisory,R,9,2270594,9
Administrative,13041,Freshman Advisory,R,9,2270655,9
Administrative,13041,Freshman Advisory,R,9,2270465,9
Administrative,13041,Freshman Advisory,R,9,2270903,9
Administrative,13041,Freshman Advisory,R,9,2270442,9
Administrative,13041,Freshman Advisory,R,9,2270391,9
Administrative,13041,Freshman Advisory,R,9,2270555,9
Administrative,13041,Freshman Advisory,R,9,2270021,9
Administrative,13041,Freshman Advisory,R,9,2270535,9
Administrative,13041,Freshman Advisory,R,9,2270418,9
Administrative,13041,Freshman Advisory,R,9,2270094,9
Administrative,13041,Freshman Advisory,R,9,2270726,9
Administrative,13041,Freshman Advisory,R,9,2270137,9
Administrative,13041,Freshman Advisory,R,9,2270020,9
Administrative,13041,Freshman Advisory,R,9,2270781,9
Administrative,13041,Freshman Advisory,R,9,2270839,9
Administrative,13041,Freshman Advisory,R,9,2270230,9
Administrative,13041,Freshman Advisory,R,9,2270480,9
Administrative,13041,Freshman Advisory,R,9,2270783,9
Administrative,13041,Freshman Advisory,R,9,2270456,9
Administrative,13041,Freshman Advisory,R,9,2270798,9
Administrative,13041,Freshman Advisory,R,9,2270772,9
Administrative,13041,Freshman Advisory,R,9,2270202,9
Administrative,13041,Freshman Advisory,R,9,2270704,9
Administrative,13041,Freshman Advisory,R,9,2270327,9
Administrative,13041,Freshman Advisory,R,9,2270167,9
Administrative,13041,Freshman Advisory,R,9,2270102,9
Administrative,13041,Freshman Advisory,R,9,2270534,9
Administrative,13041,Freshman Advisory,R,9,2270135,9
Administrative,13041,Freshman Advisory,R,9,2270127,9
Administrative,13041,Freshman Advisory,R,9,2270383,9
Administrative,13041,Freshman Advisory,R,9,2270074,9
Administrative,13041,Freshman Advisory,R,9,2270475,9
Administrative,13041,Freshman Advisory,R,9,2270356,9
Administrative,13041,Freshman Advisory,R,9,2270586,9
Administrative,13041,Freshman Advisory,R,9,2270287,9
Administrative,13041,Freshman Advisory,R,9,2270296,9
Administrative,13041,Freshman Advisory,R,9,2270007,9
Administrative,13041,Freshman Advisory,R,9,2270686,9
Administrative,13041,Freshman Advisory,R,9,2270643,9
Administrative,13041,Freshman Advisory,R,9,2270443,9
Administrative,13041,Freshman Advisory,R,9,2270031,9
Administrative,13041,Freshman Advisory,R,9,2270469,9
Administrative,13041,Freshman Advisory,R,9,2270580,9
Administrative,13041,Freshman Advisory,R,9,2270892,9
Administrative,13041,Freshman Advisory,R,9,2270651,9
Administrative,13041,Freshman Advisory,R,9,2270175,9
Administrative,13041,Freshman Advisory,R,9,2270720,9
Administrative,13041,Freshman Advisory,R,9,2270792,9
Administrative,13041,Freshman Advisory,R,9,2270297,9
Administrative,13041,Freshman Advisory,R,9,2270223,9
Administrative,13041,Freshman Advisory,R,9,2270423,9
Administrative,13041,Freshman Advisory,R,9,2270124,9
Administrative,13041,Freshman Advisory,R,9,2270544,9
Administrative,13041,Freshman Advisory,R,9,2270815,9
Administrative,13041,Freshman Advisory,R,9,2270272,9
Administrative,13041,Freshman Advisory,R,9,2270072,9
Administrative,13041,Freshman Advisory,R,9,2270344,9
Administrative,13041,Freshman Advisory,R,9,2270027,9
Administrative,13041,Freshman Advisory,R,9,2270155,9
Administrative,13041,Freshman Advisory,R,9,2270268,9
Administrative,13041,Freshman Advisory,R,9,2270023,9
Administrative,13041,Freshman Advisory,R,9,2270042,9
Administrative,13041,Freshman Advisory,R,9,2270060,9
Administrative,13041,Freshman Advisory,R,9,2270204,9
Administrative,13041,Freshman Advisory,R,9,2270447,9
Administrative,13041,Freshman Advisory,R,9,2270578,9
Administrative,13041,Freshman Advisory,R,9,2270401,9
Administrative,13041,Freshman Advisory,R,9,2270508,9
Administrative,13041,Freshman Advisory,R,9,2270294,9
Administrative,13041,Freshman Advisory,R,9,2270822,9
Administrative,13041,Freshman Advisory,R,9,2270054,9
Administrative,13041,Freshman Advisory,R,9,2270457,9
Administrative,13041,Freshman Advisory,R,9,2270065,9
Administrative,13041,Freshman Advisory,R,9,2270570,9
Administrative,13041,Freshman Advisory,R,9,2270371,9
Administrative,13041,Freshman Advisory,R,9,2270848,9
Administrative,13041,Freshman Advisory,R,9,2270717,9
Administrative,13041,Freshman Advisory,R,9,2270657,9
Administrative,13041,Freshman Advisory,R,9,2270395,9
Administrative,13041,Freshman Advisory,R,9,2270650,9
Administrative,13041,Freshman Advisory,R,9,2270843,9
Administrative,13041,Freshman Advisory,R,9,2270631,9
Administrative,13041,Freshman Advisory,R,9,2270689,9
Administrative,13041,Freshman Advisory,R,9,2270349,9
Administrative,13041,Freshman Advisory,R,9,2270855,9
Administrative,13041,Freshman Advisory,R,9,2270150,9
Administrative,13041,Freshman Advisory,R,9,2270125,9
Administrative,13041,Freshman Advisory,R,9,2270017,9
Administrative,13041,Freshman Advisory,R,9,2270304,9
Administrative,13041,Freshman Advisory,R,9,2270807,9
Administrative,13041,Freshman Advisory,R,9,2270868,9
Administrative,13041,Freshman Advisory,R,9,2270037,9
Administrative,13041,Freshman Advisory,R,9,2270863,9
Administrative,13041,Freshman Advisory,R,9,2270049,9
Administrative,13041,Freshman Advisory,R,9,2270707,9
Administrative,13041,Freshman Advisory,R,9,2270366,9
Administrative,13041,Freshman Advisory,R,9,2270056,9
Administrative,13041,Freshman Advisory,R,9,2270197,9
Administrative,13041,Freshman Advisory,R,9,2270455,9
Administrative,13041,Freshman Advisory,R,9,2270610,9
Administrative,13041,Freshman Advisory,R,9,2270653,9
Administrative,13041,Freshman Advisory,R,9,2270625,9
Administrative,13041,Freshman Advisory,R,9,2270105,9
Administrative,13041,Freshman Advisory,R,9,2270265,9
Administrative,13041,Freshman Advisory,R,9,2270370,9
Administrative,13041,Freshman Advisory,R,9,2270716,9
Administrative,13041,Freshman Advisory,R,9,2270630,9
Administrative,13041,Freshman Advisory,R,9,2270546,9
Administrative,13041,Freshman Advisory,R,9,2270347,9
Administrative,13041,Freshman Advisory,R,9,2270025,9
Administrative,13041,Freshman Advisory,R,9,2270326,9
Administrative,13041,Freshman Advisory,R,9,2270774,9
Administrative,13041,Freshman Advisory,R,9,2270769,9
Administrative,13041,Freshman Advisory,R,9,2270639,9
Administrative,13041,Freshman Advisory,R,9,2270412,9
Administrative,13041,Freshman Advisory,R,9,2270233,9
Administrative,13041,Freshman Advisory,R,9,2270613,9
Administrative,13041,Freshman Advisory,R,9,2270110,9
Administrative,13041,Freshman Advisory,R,9,2270664,9
Administrative,13041,Freshman Advisory,R,9,2270275,9
Administrative,13041,Freshman Advisory,R,9,2270784,9
Administrative,13041,Freshman Advisory,R,9,2270411,9
Administrative,13041,Freshman Advisory,R,9,2270358,9
Administrative,13041,Freshman Advisory,R,9,2270032,9
Administrative,13041,Freshman Advisory,R,9,2270427,9
Administrative,13041,Freshman Advisory,R,9,2270387,9
Administrative,13041,Freshman Advisory,R,9,2270338,9
Administrative,13041,Freshman Advisory,R,9,2270851,9
Administrative,13041,Freshman Advisory,R,9,2270433,9
Administrative,13041,Freshman Advisory,R,9,2270711,9
Administrative,13041,Freshman Advisory,R,9,2270466,9
Administrative,13041,Freshman Advisory,R,9,2270057,9
