ID,math9,math9_score,math10,math10_score,eng9,eng9_score,eng10,eng10_score,hist9,hist9_score,bio9,bio_score,phys10,phys10_score,chem11,chem11_score
4240963,Algebra,85,Geometry,85.194999694824219,English 9 Hon,50,English 2,65,AP Human Geography,50,Biology 1,71.389999389648438,Physics 1,81.220001220703125,,
4240963,Algebra,85,Geometry,85.194999694824219,English 9 Hon,50,English 2,65,World Affairs,75,Biology,85,Physics 1,81.220001220703125,,
4240963,Algebra,85,Geometry,85.194999694824219,English 9 Hon,50,English 2,65,World Affairs,75,Biology 1,71.389999389648438,Physics 1,81.220001220703125,,
4240970,Algebra,65,Geometry,58.090000152587891,English 9,85,English 2,74.899997711181641,,,Biology,80,Physics 1,65.354997634887695,,
4240975,Algebra,95,Geometry,89.199996948242188,,,English 2,97.459999084472656,,,Biology,95,Physics 1,93.19000244140625,Chemistry 1,92.599998474121094
4240976,Algebra,95,Geometry Hon,98.305000305175781,Eng 9 Hon,95,English 2 Hon,98.084999084472656,AP Human Geography,95,Biology Hon,95,Physics 1 Hon,94.055000305175781,Chemistry 1 Hon,93.860000610351563
4240979,Algebra,70,Geometry,71.145000457763672,English 9,85,English 2,72.735000610351563,,,Biology,70,Physics 1,75.985000610351563,,
4240983,Algebra,75,Geometry,89.044998168945313,English 9,85,English 2,92.034999847412109,,,Biology,70,Physics 1,83.619998931884766,,
4241001,Algebra,,Geometry,67.235000610351563,English 1,,English 1,44.643333435058594,,,Biology,75,,,,
4241001,Algebra,,Geometry,67.235000610351563,English 9,50,English 1,44.643333435058594,,,Biology,75,,,,
4241010,Algebra,85,Geometry,88.25,English,85,English 2,87.574996948242188,,,Biology,95,Physics 1,86.630001068115234,Chemistry 1,80.385002136230469
4241018,Algebra,75,Geometry (2 hr),90.115001678466797,English 9 ,75,English 2,75.774997711181641,,,Biology,80,,,,
4241040,Algebra,95,Geometry,95,Eng 9 Hon,90,Eng 10 Hon,90,AP Human Geography,95,Biology,95,,,,
4241051,Algebra,75,Geometry Analysis,85,English 1 as second language,85,English 3 as a second language,95,,,,,,,,
4241051,Algebra,75,Geometry Analysis,85,English 1 as second language,85,English 4,85,,,,,,,,
4241051,Algebra,75,Geometry Analysis,85,English 2,95,English 3 as a second language,95,,,,,,,,
4241051,Algebra,75,Geometry Analysis,85,English 2,95,English 4,85,,,,,,,,
4241055,Algebra ,95,Geometry,95,,,,,,,,,,,,
4241063,Algebra,85,Geometry Analytics ,95,English I,75,English III,95,,,,,,,,
4241063,Algebra,85,Geometry Analytics ,95,English II,95,English III,95,,,,,,,,
4251082,Algebra,50,Geometry ,50,English I,65,English II,65,,,Biology ,65,,,,
90001,Algebra 1,90,Geometry,85,English 1,90,English 2,85,World Affairs,75,,,,,,
90001,Algebra 1,90,Geometry,85,English 1,90,English 2,85,World Affaris,85,,,,,,
90009,Algebra 1,70,Geometry,50,English 9,80,English II,50,,,,,,,,
2230907,Algebra 1,90.959999084472656,,,English 1,84.465000152587891,English 2,96.350002288818359,World Affairs,93.119998931884766,Biology 1,85.489997863769531,,,,
2230907,Algebra 1,90.959999084472656,,,English 1,84.465000152587891,English 3,85,World Affairs,93.119998931884766,Biology 1,85.489997863769531,,,,
2240001,Algebra 1,84.005001068115234,,,English 1,72.205001831054688,English 2,94.44000244140625,World Affairs,86.734996795654297,Biology 1,90.130001068115234,Physics 1,88.31500244140625,Chemistry 1 Hon,85.724998474121094
2240010,Algebra 1,55.559999465942383,Geometry,74.665000915527344,English 1,90.514999389648438,English 2,97.604999542236328,World Affairs,96.209999084472656,Biology 1,78.310001373291016,Physics 1,86.304996490478516,,
2240011,Algebra 1,75.794998168945313,Geometry,83.415000915527344,English 1 In,85.399997711181641,English 2 In,80.279998779296875,World Affairs In,82.534999847412109,Biology 1 In,90.994998931884766,,,,
2240015,Algebra 1,49.965002059936523,Geometry,16.75,English 1,31.40000007301569,English 2,29.829999923706055,World Affairs,58.245000839233398,Biology 1,54.94999885559082,Physics 1,71.279998779296875,,
2240018,Algebra 1,81.834999084472656,Geometry,77.224998474121094,English 1 Hon,69.349998474121094,English 2 Hon,84.754997253417969,AP Human Geography,73.639999389648438,Biology 1 Hon,85,Physics 1 Hon,70.200000762939453,Chemistry 1 Hon,82.325000762939453
2240019,Algebra 1,90.310001373291016,Geometry Hon,68.365001678466797,English 1,95.625,English 2,67.299999237060547,World Affairs,92.969997406005859,Biology 1,90.210002899169922,Physics 1,74.610000610351563,Chemistry 1,49.590000152587891
2240020,Algebra 1,84.369998931884766,Geometry,71.895000457763672,English 1,96.68499755859375,English 2,87.379997253417969,World Affairs,85.254997253417969,Biology 1,80.879997253417969,Physics 1,78.909999847412109,Chemistry 1,84.555000305175781
2240021,Algebra 1,75.255001068115234,Geometry In,73.515003204345703,English 1 In,84.339996337890625,English 2 In,79.705001831054688,World Affairs In,45.055000305175781,Biology 1 In,66.654998779296875,,,,
2240022,Algebra 1,39.979999542236328,,,English 1,79.345001220703125,English 2,51.719999313354492,World Affairs,74.809999465942383,Biology 1,57.225001335144043,,,,
2240024,Algebra 1,33.000000004656613,Geometry (2 hr),88.535003662109375,English 1 Hon,68.779998779296875,English 2 Hon,86.064998626708984,AP Human Geography,39.105000019073486,Biology 1 Hon,69.80000114440918,Physics 1,66.319999694824219,,
2240024,Algebra 1,33.000000004656613,Geometry (2 hr),88.535003662109375,English 1 Hon,68.779998779296875,English 2 Hon,86.064998626708984,World Affairs,77.580001831054688,Biology 1 Hon,69.80000114440918,Physics 1,66.319999694824219,,
2240026,Algebra 1,78.295001983642578,Geometry,53.965000152587891,English 1,82.875,English 2,75.229999542236328,World Affairs,89.685001373291016,Biology 1,90.345001220703125,Physics 1,37.636666099230446,,
2240026,Algebra 1,78.295001983642578,Geometry CR Grading,50,English 1,82.875,English 2,75.229999542236328,World Affairs,89.685001373291016,Biology 1,90.345001220703125,Physics 1,37.636666099230446,,
2240027,Algebra 1,69.709999084472656,Geometry (2 hr),89.650001525878906,English 1,52.489999135335289,English 2,80.735000610351563,World Affairs,83.259998321533203,Biology 1,64.844999313354492,Physics 1,68.585000991821289,,
